Date,Time,Device,Location,SpeedDownload,SpeedUpload,StrengthStrongest,NumberofAvailableNetworks,NumberOfDevices,MacOrPC
10/1/2019,11:37,,H105,46.46,70.71,,,,
10/1/2019,11:37,,H105,39.79,23.97,,,,
10/1/2019,11:37,,H105,136.85,112.7,-54,23,,
10/1/2019,11:37,,H105,19.52,28.17,,,,
10/1/2019,11:37,,H105,13.06,29.13,-61,,,
10/1/2019,11:37,,Jane,56.04,44.69,,,,Mac
10/1/2019,11:37,,H105,21.2,15.35,,,,
10/1/2019,11:37,,H105,46.68,67.82,-54,,,
10/1/2019,11:37,,H105,18.1,51.6,,,,
10/1/2019,11:37,,H105,29.3,62.2,-50,,,
10/3/2019,8:58,iPhone,Library ,100.44,178.28,-42,,512,
10/3/2019,8:59,iPhone,H110,91.53,78.18,,,288,
10/3/2019,9:03,iPhone,StudentCenter,24.06,44.91,-69,,,
10/9/2019,9:04,Windows,Gym,17.1,31.5,-42,25,436,Windows
10/3/2019,9:06,iPhone,H103,93.48,100.17,-42,,432,
10/3/2019,9:12,iPhone,H226,12.9,26.7,-44,,525,
10/3/2019,9:08,iPhone,H220,69.37,79.06,-68,,505,
10/3/2019,9:10,iPhone,StudentCenter,10.93,12.74,-37,,,
10/9/2019,9:14,Windows,Mark's Office,0.36,4.66,-60,1,449,Windows
10/3/2019,9:16,iPhone,DiningHall,149,219.1,-61,,,
10/9/2019,9:20,iPhone,Gym,31.6,83.1,-69,6,420,Windows
10/3/2019,9:20,iPhone,HealthCenter,9.7,6.56,,,,
10/3/2019,9:38,Android,A&T 3,58.6,103.9,-51,14,,Android
10/3/2019,19:42,Windows,Dorm:Bellingrath,9.14,4.7,,,,
10/9/2019,9:28,Android,A&T 3,79.7,90.9,-57,34,495,Windows
10/9/2019,9:20,Android,A&T 3,97,80,-68,4,415,Windows
10/9/2019,9:15,Android,A&T 2,19.1,0.24,-76,14,445,Windows
10/9/2019,9:10,Android,A&T 1,57,112,-41,7,414,
10/3/2019,9:05,Android,A&T 1,40.4,50.7,,16,,
10/3/2019,9:40,Android,Orchestra Room,62.7,144.2,-69,13,,
10/9/2019,0:00,Windows,Dorm:Coit,64,82.3,-66,7,,
10/9/2019,9:09,iPhone,HealthCenter,16.95,3.25,-88,16,441,
10/9/2019,9:12,,HealthCenter,9.64,0.07,-76,9,460,
10/9/2019,9:15,,StudentCenter,9.52,9.4,-41,8,486,
10/9/2019,9:18,iPhone,Library ,17.19,37.86,-53,,531,
10/9/2019,9:22,,DiningHall,24.04,13.26,-46,37,484,
10/9/2019,9:26,,DiningHall,15.1,2.02,-54,46,488,
10/9/2019,11:18,iPhone,Dorm:Irene,3.03,7.8,-70,,32,
10/9/2019,11:18,iPhone,Dorm:Irene,7.18,41.83,-69,,132,
